LAMMPS (15 May 2015)
Reading data file ...
  orthogonal box = (-10.7281 -10.7281 -2.60084) to (10.7281 10.7281 2.60084)
  2 by 2 by 1 MPI processor grid
  reading atoms ...
  424 atoms
212 atoms in group positive_ions
212 atoms in group negative_ions
424 atoms in group salt_ions
PPPMDisp initialization ...
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
  Coulomb G vector (1/distance)= 0.359897
  Coulomb grid = 18 18 12
  Coulomb stencil order = 5
  Coulomb estimated absolute RMS force accuracy = 0.000101278
  Coulomb estimated relative force accuracy = 0.000101278
  using double precision FFTs
  3d grid and FFT values/proc = 2744 972
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 8.1
Setting up run ...
Memory usage per processor = 3.81279 Mbytes
Step Temp Volume Density KinEng PotEng TotEng 
   60000    1.0703318    2394.6897   0.17705843    1.6017111  -0.21853587    1.3831752 
   61000   0.98940258    2394.6897   0.17705843    1.4806036   -0.2015908    1.2790128 
   62000   0.99185515    2394.6897   0.17705843    1.4842738  -0.21387524    1.2703986 
   63000    1.0190338    2394.6897   0.17705843    1.5249456  -0.26205902    1.2628866 
   64000     0.941962    2394.6897   0.17705843    1.4096106  -0.23550554    1.1741051 
   65000    1.0807382    2394.6897   0.17705843    1.6172839  -0.21463742    1.4026465 
   66000   0.97724168    2394.6897   0.17705843    1.4624053   -0.2182041    1.2442012 
   67000    0.9956074    2394.6897   0.17705843    1.4898889  -0.25317868    1.2367102 
   68000    1.0345324    2394.6897   0.17705843    1.5481387  -0.19638748    1.3517512 
   69000   0.99827786    2394.6897   0.17705843    1.4938852  -0.21395102    1.2799341 
   70000   0.95794208    2394.6897   0.17705843    1.4335242  -0.23336421      1.20016 
   71000    1.0040646    2394.6897   0.17705843    1.5025448  -0.21798448    1.2845604 
   72000   0.95717668    2394.6897   0.17705843    1.4323788  -0.22742831    1.2049505 
   73000   0.94972262    2394.6897   0.17705843    1.4212241  -0.24557407      1.17565 
   74000    1.0869497    2394.6897   0.17705843    1.6265793  -0.24096306    1.3856162 
   75000   0.97491514    2394.6897   0.17705843    1.4589237  -0.22687042    1.2320533 
   76000     1.034681    2394.6897   0.17705843    1.5483611  -0.22357814    1.3247829 
   77000   0.98804544    2394.6897   0.17705843    1.4785727  -0.24287387    1.2356988 
   78000   0.99025438    2394.6897   0.17705843    1.4818783  -0.23301366    1.2488646 
   79000    1.0031288    2394.6897   0.17705843    1.5011443  -0.22581581    1.2753285 
   80000    1.0283528    2394.6897   0.17705843    1.5388911  -0.21246915     1.326422 
   81000    1.0120594    2394.6897   0.17705843    1.5145086   -0.2270447    1.2874639 
   82000   0.98807536    2394.6897   0.17705843    1.4786175   -0.2296368    1.2489807 
   83000     1.038724    2394.6897   0.17705843    1.5544113  -0.21478859    1.3396228 
   84000    0.9478397    2394.6897   0.17705843    1.4184063  -0.23710104    1.1813053 
   85000   0.96460474    2394.6897   0.17705843    1.4434946  -0.22917067    1.2143239 
   86000   0.98100641    2394.6897   0.17705843    1.4680391  -0.23194686    1.2360922 
   87000    1.0071116    2394.6897   0.17705843    1.5071045   -0.2052619    1.3018426 
   88000   0.99084686    2394.6897   0.17705843    1.4827649  -0.18650388    1.2962611 
   89000   0.98276435    2394.6897   0.17705843    1.4706698  -0.21649456    1.2541752 
   90000    1.0176995    2394.6897   0.17705843    1.5229488  -0.23044881       1.2925 
   91000    1.0153215    2394.6897   0.17705843    1.5193903  -0.21949652    1.2998938 
   92000    1.0749518    2394.6897   0.17705843    1.6086248  -0.22466669    1.3839581 
   93000    1.0157808    2394.6897   0.17705843    1.5200776  -0.25305523    1.2670223 
   94000   0.98149282    2394.6897   0.17705843     1.468767  -0.23077333    1.2379936 
   95000    1.0024931    2394.6897   0.17705843    1.5001931  -0.20425531    1.2959378 
   96000   0.96754574    2394.6897   0.17705843    1.4478957  -0.20817798    1.2397177 
   97000   0.97190812    2394.6897   0.17705843    1.4544238  -0.17690575    1.2775181 
   98000   0.99785396    2394.6897   0.17705843    1.4932508  -0.26022037    1.2330304 
   99000   0.99010259    2394.6897   0.17705843    1.4816512  -0.19635321    1.2852979 
  100000   0.99938878    2394.6897   0.17705843    1.4955476  -0.21321487    1.2823327 
  101000   0.97701093    2394.6897   0.17705843      1.46206  -0.20037445    1.2616855 
  102000   0.87110548    2394.6897   0.17705843    1.3035765  -0.21363645      1.08994 
  103000   0.97356162    2394.6897   0.17705843    1.4568982  -0.23333446    1.2235638 
  104000    1.0204114    2394.6897   0.17705843    1.5270072   -0.2428373    1.2841698 
  105000   0.96289724    2394.6897   0.17705843    1.4409394  -0.20655126    1.2343881 
  106000   0.94118091    2394.6897   0.17705843    1.4084417  -0.20980884    1.1986329 
  107000    1.0109245    2394.6897   0.17705843    1.5128104  -0.25937525    1.2534351 
  108000    1.0812413    2394.6897   0.17705843    1.6180369  -0.24059542    1.3774414 
  109000   0.92570685    2394.6897   0.17705843    1.3852854  -0.24819257    1.1370928 
  110000   0.98661284    2394.6897   0.17705843    1.4764289  -0.21391492     1.262514 
