       0   0.08255366    6611.5781   0.82461402   0.11159718   0.12380778   -0.0122106 -0.012389478 0.0032886393 -0.0053773906 -0.010300727 
    1000  0.084908494    6611.5781   0.82461402   0.10235875   0.12733938 -0.024980629 -0.025725273 0.0023762995 -0.012606022  -0.01549555 
    2000  0.087372404    6611.5781   0.82461402   0.10267645   0.13103457 -0.028358115 -0.030187327  0.001783035 -0.013099439 -0.018870923 
    3000  0.084536516    6611.5781   0.82461402  0.097520114   0.12678152 -0.029261402 -0.030134462 0.0028359792 -0.014290191  -0.01868025 
    4000    0.0853095    6611.5781   0.82461402    0.1011036   0.12794078 -0.026837178 -0.028336535 0.0026758293 -0.012281048 -0.018731316 
    5000  0.079139218    6611.5781   0.82461402  0.090105462   0.11868705 -0.028581591 -0.029109517 0.0032311951 -0.013320987 -0.019019725 
    6000  0.085602383    6611.5781   0.82461402  0.099572783   0.12838002  -0.02880724 -0.029205936  0.003557651 -0.013963287 -0.018800301 
    7000   0.07838402    6611.5781   0.82461402  0.088746773   0.11755446 -0.028807691 -0.029108244 0.0040859026 -0.013991736 -0.019202411 
    8000  0.081423964    6611.5781   0.82461402   0.09138725   0.12211354 -0.030726294 -0.031216758 0.0038468154 -0.015366198 -0.019697376 
    9000  0.080757776    6611.5781   0.82461402  0.093788108   0.12111445 -0.027326338  -0.02791911  0.003466214  -0.01240376 -0.018981564 
   10000  0.085813317    6611.5781   0.82461402   0.10258526   0.12869637  -0.02611111 -0.027214967 0.0033464049 -0.011619841 -0.018941531 
   11000  0.083281173    6611.5781   0.82461402  0.096062045   0.12489885 -0.028836802 -0.029689065 0.0028350022 -0.012966162 -0.019557905 
   12000  0.077989176    6611.5781   0.82461402  0.088829776   0.11696231  -0.02813253 -0.028995213 0.0024944274 -0.012742317 -0.018747323 
   13000  0.086129893    6611.5781   0.82461402   0.10124986   0.12917114 -0.027921281 -0.028676961 0.0025466285 -0.012210534 -0.019013055 
   14000  0.086832902    6611.5781   0.82461402    0.1023489   0.13022546 -0.027876562 -0.028268885  0.003132404 -0.012720255 -0.018681034 
   15000  0.083199433    6611.5781   0.82461402  0.093435846   0.12477626 -0.031340413 -0.031914052 0.0029618009 -0.015132576 -0.019743277 
   16000  0.074875798    6611.5781   0.82461402  0.083078162    0.1122931 -0.029214935  -0.03008171 0.0020288313 -0.012841348 -0.019269193 
   17000  0.080327407    6611.5781   0.82461402  0.092558833   0.12046901 -0.027910178  -0.02930702 0.0037614389 -0.014093939  -0.01897452 
   18000  0.082852094    6611.5781   0.82461402  0.096706555   0.12425535 -0.027548791 -0.028319014 0.0042243488 -0.012990294 -0.019553069 
   19000  0.080639302    6611.5781   0.82461402  0.094446038   0.12093677 -0.026490729 -0.027089077  0.003311548 -0.011171375  -0.01922925 
   20000  0.081908374    6611.5781   0.82461402  0.092957465   0.12284003  -0.02988256 -0.030628671 0.0023268428  -0.01323211 -0.019723404 
   20000  0.081908374    6611.5781   0.82461402  0.092957465   0.12284003  -0.02988256 -0.030628671 0.0023268428  -0.01323211 -0.019723404 
   21000  0.081417029    6611.5781   0.82461402  0.092218493   0.12210314 -0.029884651 -0.030856278 0.0028253837 -0.013594887 -0.020086774 
   22000  0.079754894    6611.5781   0.82461402   0.09171871    0.1196104 -0.027891688  -0.02908129 0.0038576035 -0.013519009 -0.019419884 
   23000  0.082868802    6611.5781   0.82461402  0.095894225    0.1242804 -0.028386179 -0.029429178 0.0025823416 -0.012523442 -0.019488077 
   24000  0.084195089    6611.5781   0.82461402  0.097372986   0.12626947 -0.028896482 -0.029890946 0.0025015752 -0.012701272 -0.019691249 
   25000  0.080607488    6611.5781   0.82461402   0.09111827   0.12088905 -0.029770785 -0.029957502 0.0034871728 -0.013614954 -0.019829721 
   26000  0.084367983    6611.5781   0.82461402  0.096257858   0.12652876 -0.030270905 -0.031608043  0.002499128 -0.014353426 -0.019753745 
   27000  0.081928074    6611.5781   0.82461402  0.095420881   0.12286957 -0.027448689 -0.028801493 0.0034101588 -0.012760329 -0.019451322 
   28000  0.081931519    6611.5781   0.82461402  0.093455291   0.12287474 -0.029419446   -0.0301502 0.0024960309 -0.012943207 -0.019703025 
   29000  0.082294402    6611.5781   0.82461402    0.0922962   0.12341896 -0.031122762 -0.031543218 0.0027555922 -0.014157899 -0.020140911 
   30000  0.091169038    6611.5781   0.82461402    0.1075723   0.13672847 -0.029156178 -0.030117193 0.0031836328 -0.013524381 -0.019776445 
   31000  0.081748716    6611.5781   0.82461402  0.094290848   0.12260058 -0.028309734 -0.028979831 0.0037835954 -0.013910783 -0.018852644 
   32000  0.081559175    6611.5781   0.82461402  0.092038868   0.12231632 -0.030277455 -0.031357101 0.0023513649 -0.014866252 -0.018842214 
