-1.48214              0
-1.44643              0
-1.41071              0
-1.375              0
-1.33929              0
-1.30357              0
-1.26786              0
-1.23214              0
-1.19643              0
-1.16071       0.119846
-1.143       0.369322
-1.125       0.701957
-1.08929        1.17645
-1.05357       0.985674
-1.01786        0.82914
-0.982143       0.765549
-0.946429       0.701957
-0.910714       0.662823
-0.875       0.631027
-0.839286       0.535639
-0.803571       0.660377
-0.767857       0.545423
-0.732143       0.560098
-0.696429        0.56499
-0.660714       0.599231
-0.625       0.584556
-0.589286        0.55276
-0.553571       0.631027
-0.517857       0.584556
-0.482143        0.52341
-0.446429        0.59434
-0.410714       0.550314
-0.375       0.613906
-0.339286       0.631027
-0.303571        0.59434
-0.267857       0.606569
-0.232143       0.662823
-0.196429       0.660377
-0.160714       0.562544
-0.125       0.667715
-0.0892857       0.579665
-0.0535714       0.635919
-0.0178571       0.618798
0.0178571       0.596785
0.0535714       0.677498
0.0892857       0.650594
0.125       0.616352
0.160714       0.638365
0.196429       0.609015
0.232143       0.577219
0.267857       0.569881
0.303571       0.626136
0.339286       0.643256
0.375       0.555206
0.410714       0.503843
0.446429       0.591894
0.482143       0.545423
0.517857       0.628581
0.553571       0.628581
0.589286       0.562544
0.625       0.542977
0.660714       0.609015
0.696429        0.56499
0.732143       0.618798
0.767857       0.621244
0.803571       0.562544
0.839286       0.609015
0.875       0.701957
0.910714       0.657932
0.946429       0.809574
0.982143       0.887841
1.01786       0.882949
1.05357       0.941649
1.08929       0.978337
1.125       0.790007
1.143       0.393781
1.16071       0.105171
1.19643              0
1.23214              0
1.26786              0
1.30357              0
1.33929              0
1.375              0
1.41071              0
1.44643              0
1.48214              0
